,batter_name,team,birthday,height,weight,age
1578,김민,KT,1999-04-14,185cm,88kg,21
1579,박성모,두산,1995-02-22,186cm,86kg,25
1580,최민준,SK,1999-06-11,178cm,83kg,21
1581,조원빈,NC,1993-04-10,180cm,85kg,27
1582,전민재,두산,1999-06-30,181cm,73kg,20
1583,샌즈,Hero,1987-09-28,193cm,105kg,32
1584,안상현,SK,1997-01-27,178cm,74kg,23
1585,고명성,KT,1999-04-16,178cm,68kg,21
1586,이승헌,롯데,1998-12-19,196cm,97kg,21
1587,김기연,LG,1997-09-07,178cm,95kg,22
1588,김태오,KT,1997-07-29,183cm,84kg,22
1589,김용하,삼성,1999-07-27,185cm,85kg,20
1590,김종덕,Hero,1993-05-12,172cm,83kg,27
1591,서의태,Hero,1997-09-05,194cm,115kg,22
1592,조성훈,SK,1999-03-22,188cm,85kg,21
1593,김철호,NC,1998-02-06,182cm,87kg,22
1594,성동현,LG,1999-05-18,189cm,108kg,21
1595,해즐베이커,KIA,1987-08-14,190cm,86kg,32
1596,윌랜드,KIA,1990-01-21,188cm,92kg,30
1597,터너,KIA,1992-05-21,196cm,97kg,28
1598,서폴드,한화,1990-01-16,188cm,101kg,30
1599,채드벨,한화,1989-02-28,190cm,90kg,31
1600,맥과이어,삼성,1989-06-23,198cm,100kg,30
1601,버틀러,NC,1991-03-13,188cm,95kg,29
1602,루친스키,NC,1988-12-30,188cm,91kg,31
1603,베탄코트,NC,1991-09-02,184cm,98kg,28
1604,쿠에바스,KT,1990-10-14,188cm,98kg,29
1605,알칸타라,두산,1992-12-04,193cm,100kg,27
1606,헤일리,삼성,1991-06-16,195cm,105kg,29
1607,페르난데스,두산,1988-04-27,178cm,83kg,32
1608,다익손,롯데,1994-07-02,205cm,117kg,25
1609,조셉,LG,1991-07-16,185cm,115kg,28
1610,켈리,LG,1989-10-04,191cm,98kg,30
1611,요키시,Hero,1989-07-29,0cm,0kg,30
1612,아수아헤,롯데,1991-11-02,175cm,72kg,28
1613,톰슨,롯데,1994-01-31,193cm,100kg,26
1614,이학주,삼성,1990-11-04,187cm,87kg,29
1615,김기훈,KIA,2000-01-03,184cm,93kg,20
1616,서준원,롯데,2000-11-05,187cm,95kg,19
1617,김대한,두산,2000-12-06,185cm,83kg,19
1618,노시환,한화,2000-12-03,185cm,96kg,19
1619,변우혁,한화,2000-03-18,185cm,93kg,20
1620,하재훈,SK,1990-10-29,182cm,90kg,29
1621,박주성,Hero,2000-11-09,181cm,95kg,19
1622,홍정우,삼성,1996-03-16,182cm,85kg,24
1623,정우영,LG,1999-08-19,193cm,85kg,20
1624,이대은,KT,1989-03-23,189cm,90kg,31
1625,신민재,LG,1996-01-21,171cm,64kg,24
1626,손동현,KT,2001-01-23,183cm,88kg,19
1627,원태인,삼성,2000-04-06,183cm,92kg,20
1629,김영규,NC,2000-02-10,188cm,86kg,20
1630,박윤철,한화,1996-03-23,186cm,85kg,24
1631,김현수,KIA,2000-07-10,185cm,90kg,19
1632,전용주,KT,2000-02-12,188cm,87kg,20
1633,배민서,NC,1999-11-18,184cm,81kg,20
1634,유장혁,한화,2000-05-30,186cm,86kg,20
1635,추재현,롯데,1999-02-22,179cm,89kg,21
1636,양승철,KIA,1992-07-15,193cm,108kg,27
1637,이상동,KT,1995-11-24,181cm,88kg,24
1638,류형우,LG,1995-05-07,182cm,72kg,25
1639,장지수,KIA,2000-05-25,179cm,83kg,20
1641,배성근,롯데,1995-04-27,181cm,76kg,25
1642,오정환,KIA,1999-03-27,185cm,75kg,21
1643,송승환,두산,2000-10-28,183cm,93kg,19
1644,오선우,KIA,1996-12-13,186cm,95kg,23
1645,박진,롯데,1999-04-02,181cm,99kg,21
1646,고승민,롯데,2000-08-11,187cm,88kg,19
1647,이원석,한화,1999-03-31,177cm,70kg,21
1648,공민규,삼성,1999-09-27,183cm,85kg,20
1649,오석주,LG,1998-04-14,181cm,74kg,22
1650,최하늘,롯데,1999-03-26,190cm,99kg,21
1651,김이환,한화,2000-09-13,183cm,87kg,19
1652,강이준,KIA,1998-04-07,190cm,86kg,22
1653,김도환,삼성,2000-04-14,178cm,90kg,20
1654,송명기,NC,2000-08-09,191cm,93kg,19
1655,강정현,LG,1995-09-23,180cm,90kg,24
1656,신용수,롯데,1996-01-05,178cm,78kg,24
1657,터커,KIA,1990-07-06,183cm,98kg,29
1658,김은성,Hero,1993-03-07,179cm,83kg,27
1659,전사민,NC,1999-07-06,194cm,85kg,20
1660,이정현,KT,1997-12-05,188cm,93kg,22
1661,백승건,SK,2000-10-29,183cm,85kg,19
1662,조영건,Hero,1999-02-04,180cm,85kg,21
1663,최준우,SK,1999-03-25,176cm,78kg,21
1664,김정우,SK,1999-05-15,183cm,87kg,21
1665,김창평,SK,2000-06-14,183cm,78kg,20
1666,최경모,SK,1996-06-17,0cm,0kg,24
1667,전준호,LG,1998-07-01,181cm,80kg,21
1668,이케빈,SK,1992-02-13,184cm,90kg,28
1669,구본혁,LG,1997-01-11,177cm,75kg,23
1670,임재현,SK,1991-05-29,175cm,80kg,29
1671,김주형,Hero,1996-03-05,176cm,80kg,24
1674,최승민,NC,1996-07-01,181cm,73kg,23
1675,채현우,SK,1995-11-21,182cm,80kg,24
1676,윤정현,Hero,1993-05-17,187cm,110kg,27
1677,김승범,KIA,1998-12-07,183cm,88kg,21
1678,윌슨,롯데,1990-07-29,180cm,93kg,29
1679,양기현,Hero,1998-12-16,182cm,115kg,21
1680,한선태,LG,1994-06-14,183cm,79kg,26
1681,김윤수,삼성,1999-12-08,183cm,94kg,20
1682,스몰린스키,NC,1989-02-09,180cm,95kg,31
1683,프리드릭,NC,1987-07-08,194cm,100kg,32
1684,페게로,LG,1987-02-22,195cm,117kg,33
1685,김성민,SK,1993-05-12,188cm,115kg,27
1686,윌리엄슨,삼성,1990-07-15,193cm,107kg,29
1687,이상영,LG,2000-12-03,193cm,88kg,19
1688,라이블리,삼성,1992-03-05,193cm,86kg,28
1689,이상규,LG,1996-10-20,185cm,77kg,23
1690,박승규,삼성,2000-09-02,178cm,78kg,19
1691,김태근,두산,1996-08-10,175cm,74kg,23
1692,한준수,KIA,1999-02-13,184cm,95kg,21
1693,이찬건,롯데,1996-05-14,177cm,73kg,24
1694,하준호,KT,1989-04-29,174cm,78kg,31
1695,박민석,KT,2000-04-13,180cm,77kg,20
1696,이선우,KT,2000-09-19,186cm,90kg,19
1697,정보근,롯데,1999-08-31,175cm,88kg,20
1698,임규빈,Hero,1991-09-12,184cm,101kg,28
1699,소이현,NC,1999-02-09,185cm,93kg,21
1701,양우현,삼성,2019-09-03,0cm,0kg,0
1702,플렉센,두산,1994-07-01,191cm,113kg,25
1703,살라디노,삼성,1989-07-20,183cm,90kg,30
1704,뷰캐넌,삼성,1989-05-11,190cm,90kg,31
1705,브룩스,KIA,1990-04-27,193cm,104kg,30
1706,가뇽,KIA,1990-06-26,193cm,97kg,29
1707,모터,Hero,1989-09-18,185cm,88kg,30
1708,박주홍,Hero,2001-04-16,188cm,92kg,19
1709,라모스,LG,1994-12-28,193cm,115kg,25
1710,김윤식,LG,2000-04-03,181cm,83kg,20
1711,이민호,LG,2001-08-30,189cm,93kg,18
1712,킹엄,SK,1991-11-08,196cm,106kg,28
1713,핀토,SK,1994-01-20,183cm,88kg,26
1714,알테어,NC,1991-01-14,196cm,97kg,29
1715,라이트,NC,1990-01-03,198cm,97kg,30
1716,마차도,롯데,1992-02-22,185cm,91kg,28
1717,샘슨,롯데,1991-10-07,189cm,95kg,28
1718,스트레일리,롯데,1988-12-11,189cm,100kg,31
1719,데스파이네,KT,1987-04-04,182cm,92kg,33
1720,김지찬,삼성,2001-03-08,163cm,64kg,19
1721,채지선,두산,1995-07-11,180cm,70kg,24
1722,안권수,두산,1993-04-19,175cm,80kg,27
1723,최지훈,SK,1997-07-23,178cm,82kg,22
1724,강현우,KT,2001-04-13,180cm,90kg,19
1725,김현준,KIA,1997-06-05,182cm,78kg,23
1726,최정원,NC,2000-06-24,176cm,70kg,19
1727,김재웅,Hero,1998-10-22,173cm,88kg,21
1728,김주온,SK,1996-12-08,184cm,82kg,23
1729,손호영,LG,1994-08-23,182cm,88kg,25
1731,소형준,KT,2001-09-16,189cm,92kg,18
1733,변상권,Hero,1997-04-04,180cm,80kg,23
1734,김현민,한화,2000-02-23,183cm,82kg,20
1735,김규성,KIA,1997-03-08,183cm,73kg,23
1736,황동재,삼성,2001-11-03,191cm,97kg,18
1737,조한민,한화,2000-10-20,182cm,77kg,19
1739,정현욱,두산,1999-10-27,179cm,78kg,20
1740,이강준,KT,2001-12-14,184cm,80kg,18
1741,허윤동,삼성,2001-06-19,181cm,90kg,18
1742,한석현,LG,1994-05-17,181cm,73kg,26
1743,권기영,두산,1999-02-04,180cm,90kg,21
1744,문대원,두산,1998-08-22,187cm,91kg,21
1745,서호철,NC,1996-10-16,179cm,85kg,23
1746,천성호,KT,1997-10-30,183cm,85kg,22
1747,권민석,두산,1999-02-20,184cm,74kg,21
1748,양찬열,두산,1997-05-25,179cm,84kg,23
1750,조제영,두산,2001-02-12,182cm,89kg,19
1751,최인호,한화,2000-01-30,178cm,82kg,20
1752,강재민,한화,1997-04-03,180cm,86kg,23
1753,박정현,한화,2001-07-27,183cm,85kg,18
1754,조병욱,KT,1998-06-08,185cm,95kg,22
1755,양선률,SK,1997-04-15,186cm,87kg,23
